rank,name,puuid,league_points,wins,losses,win_rate
1,Unknown,J9g7ZfcT5BsW_gkyeXZMonb7Kdbm4fJn2kfSCBUtcSMvfoMiaje8aVRDQHet6GHerYOhmfbAkFbfug,2038,231,143,61.76
2,Unknown,8DC-82z1GtV3oCypcvSSqPmJ5jSb5P_xlKBUmkzJ8KbEPYcp9I7YDq5MyAE3oz9FO58S2xEEwpCa8Q,2038,217,147,59.62
3,Unknown,cVqUSYkfkHMhczINPp9jANaiyJV7yU8QQfqNqIR3VGGOL7fLWvm90cUJ0y87U9oo24W2-9tfdUKntg,1858,141,81,63.51
4,Unknown,DzKQEIPV2pjZwXoP8AzAWM-hybmE_BQh1_71ZskAJC7OxuyevMJqraczYU81B39IYrrSqb4abpou8w,1783,176,125,58.47
5,Unknown,T2E4wSwHDaUeQ0dEaAwtWPUZVDLyAJfXM1sgjwFEQK7Ws4chDMiL4NFihypEAWop3yaUnGVGzBaYOw,1709,261,182,58.92
6,Unknown,nsAWC-LgZR3HIop5aN7o0kkVk6XnfY2GP_7tFUnTc1zQT-6fe8MaWqaDytvHEsWKyqgZ1UMeIRGXGw,1687,321,268,54.5
7,Unknown,udWg2uyFABQRljFdBelyPSk3Du9VT-KzR-V8aqz2c_AdFbJZXfqt6OZfYHcEYbuTK9crZMsvLpW-CA,1674,166,124,57.24
8,Unknown,6oHmwBeQSPG4prZmhrDR98q-7VaVmbZu8Dy7CnHd4z4DnMEzjfvyJy3hEXQW4htnHoEstISi8rRaIw,1661,175,124,58.53
9,Unknown,59ztd5JcF6zrmn1YTzW-W0mUSEASDwoB85nmccX2g5f34_0H5deS07E6nL2397UtO73tVuWyVbQVQw,1619,144,90,61.54
10,Unknown,gXkZMdawSeetAOMYvIDFkyIiO9GWhQ8YUUqJJmxINenw8_h-TlW_LQBC2t1digEQcCQy_MhbmWCz-g,1608,160,116,57.97
11,Unknown,v0-j955obGDEdhGt4LGulh5k3ZoChRqirKRZHDR2bkyNsk0pEABX9eK0vQxHsiKlrNvX2OP64OOF6Q,1602,185,141,56.75
12,Unknown,E5ve42icDOF0UOj0WeZJoe2NJth_k9ugP49al4CPI2LMU8Pl3S4tq9sbKvjMNaDYMoKXwcOgNFrfuQ,1595,284,233,54.93
13,Unknown,SELF_VGIP1r9qxSDC0ON2IveO5npcYVgPy9C6NVFoQfAApzGfA1FvbAztp3eeDj0oiJNvCPqadQcrw,1579,162,115,58.48
14,Unknown,M79iBzh-ATnsrHZT98o7KfvXDpPwqsynzUhedJLfobpl9TwhPVrgY-_N3GXni0OWM-ehaxiXR-L2CA,1536,163,115,58.63
15,Unknown,4HTRxJAIUbda38O0XXA4_f3LTTupldeC_RQY9PAtOFRWPnvebHe5er_-fTK6akevrHcsiAGEKc6qKA,1535,153,86,64.02
16,Unknown,qw2n3lOIZHh2x2ABgdBEKni2etYGavUYeYsNR1nHzNx0dTQolQyQgNsDM4l2iKtvE5PNExBkv4_MhA,1523,263,190,58.06
17,Unknown,ikrUQ-hH6WxVHtBBPVRH108d4zas4e1TsHKnFwboh8lxYl8g_q1P0kdiTbU-UevXJdIkyXrLyv1h0Q,1499,224,160,58.33
18,Unknown,XXVEpyWnFzSCRJflBx_JK7SY3HfPrqtsxHsOenfscxwZqT8wxZjtnttdXCki8mlDgEAz1h_B02J8Vw,1480,208,162,56.22
19,Unknown,FLcdj3hxqL3jQI44Lf820N9_p3eIkkgRdSsIL8EGyzdDrK-vikdrZWGMhKqVtuwWrbpPahe77D0n8w,1465,302,263,53.45
20,Unknown,TvDvIqvN8-Dd6r8wUQz4achOzAn1tqwc9CqDfXBIqLM4dvFUjA1pf0EOBDwYBN2Yv0LD_3z4AifSjw,1460,147,103,58.8
21,Unknown,QV85qcBBVKT17G49yIHfG_kRSdnH1LQ0uHe-RL1oQsDYmc9BtOdz_tISJLR4svEjhvRGQ-1aYPPS4Q,1458,188,115,62.05
22,Unknown,aNLdg1wX65zNisslOpHp2oCgm1E5Ma_wqo0mmu1LoHYstcuRoImZXsR1GR7_vDAhuj2f89JUsK6Q6w,1454,182,132,57.96
23,Unknown,Jqc2FuyxVAX2gn6glkucVm6YVzSQR4ioBw7m3XoOkmRmykSqzbcNku81AfJpCNuRZVyudLb6-5n4KQ,1432,184,138,57.14
24,Unknown,Ojh5i6ZJtkEQeB8L4KEP2F9AV1ziJ4I7NUGNm1oJ_SLuBUZwLqsK8QpClx33yWneqy2kYZDLwSC_kg,1389,184,153,54.6
25,Unknown,2kIgBVUbhwuQEuuVvtWnGn2NFVy5LFCsdDF3NTk3iOnCLDSuM8hCCGLV-_3M6ZLBXuS0DJw884R5Fw,1363,163,136,54.52
26,Unknown,FnU1RPqh_qgPJKMOMxpfUnE_iYHTAT7EJd-ubhA4Dzi0kL383sxXfmmwy_FTHgDfdgA1hxDG3IQfiA,1353,130,75,63.41
27,Unknown,j69A1NmIEXUKaK5Ouze1P7YpcW7-0c8-AJTNM5Ui_ZsF8YxhY_ZHX_8fOIfGoCwDJc_McKVlg4j-1Q,1347,150,114,56.82
28,Unknown,iEG98Gpz5ugEFKVw0haqfiKZyUgbL5h1AsodYlMAAeFwebXcT3xQRlNCZVbB8eieUZioSgJUBJd-pw,1331,131,101,56.47
29,Unknown,mxTwFpOwtK37qSFDDko0HSVZg6tQrZ6ntuFA1NWl8opaKmiL8Unz6API6aK7gLtZS_6Bw6j4er_uCw,1329,283,243,53.8
30,Unknown,HVo6lHrJKRyQkh5upxg2DGD4HTZPmQ8psNbrUkA3WcihBGeD2PuB1ddv3Cpns2xKu328sU_MhiO_VQ,1329,183,154,54.3
31,Unknown,L0wxtXU543k4BqVybbgCYEAYaJsQ3BGG4txpvcNEJCl624cdLIaWELTwNdqWG4jWTiHeFkvuNqs7VQ,1325,135,92,59.47
32,Unknown,hMhfEm_OgwGvhM5sm1f6MbMjp_K8wUT3cV4uQMC3aSA3RWQ-zohVB1ufNiD4FpEU_0duSeJNWkInwA,1322,201,170,54.18
33,Unknown,jtO6KC7WdvbIMKQ11CjL1k1IkTBDE4Hg2wII2TgIlHPgRhEO5gq3ETCCyGjp1BA401AKVZUsGJMKQg,1322,111,68,62.01
34,Unknown,fWbteAktFxdNEtP6b-NGXHNpewEXPrZpkIX5U490wIozAOM20qN-gQ85AuRypGiI-0v-GtJi2KBjQg,1318,259,218,54.3
35,Unknown,XJJcnDMbtnzXQdxc_DpVEjMcpVRK9AZcImD3vh9fqU-0taArc_ylh5xWPh7SDxqLFI8LSVhoJd_kMg,1315,138,99,58.23
36,Unknown,5jNMWV-_EUc9SMKr0XucwbmS0Xbo8fbE_KMm-l3xHRPG-8bumhYVHASM7od8PUzSApDTS_J5KGQrsA,1309,107,71,60.11
37,Unknown,h3z9aH3Eddfervvx5o4LoC5yIUp4CK-ju8gHFUjKtAJqhHrQoXBXaITabE879xz8TfjCf9o_qGuFZA,1291,112,75,59.89
38,Unknown,kyR_ZaRWIDckqbdcoALF8JBK1ca2-jTlc5cWB_PtZEfJCT6PZtCP0UpQFDXNc6FnsZGduBHJMIVuRg,1280,168,133,55.81
39,Unknown,G2w0FWy37mqxyAr2mPm2MZ1yGWdLeer0neii_b340rMl1WC3s8Uva_beos6Z00PIDsVumJPF-k3VOw,1265,132,80,62.26
40,Unknown,3j7zi_duqivWou42uJzyv6tSxj2x5KOneiG2C7yisCQMtoOEIYljnINNerwOCMbZcFdcgPZIJQg41Q,1264,219,174,55.73
41,Unknown,XBqeG_3cQm56_0K1wX8grZSLkKWVJufopNr0iEQvDzyLlaMmLVBen2Xihe7Bbds9NpAy8n85rtMfKQ,1263,490,451,52.07
42,Unknown,QeJ9eBXsaGz5h3L5GVzSFYLXpbaCwiPEThRbVwFu7Nm8ws-YJ0zyl_nzNzkTOaM67iPKYLT4-sBDbg,1254,163,131,55.44
43,Unknown,pNlPPSst9lgwpVF_YmkK7-mOw1WR-gN8sf3ydUB_vkMQOwzkPJQkdx27M_khIxqVRREH6ccEa4gUKQ,1253,155,118,56.78
44,Unknown,mTIW4lNaJXMz2b0GkxTCCLokbEXhrGn1VAkWcFenEL6sjuaEBi7BVkzYULjB32T9SXxW4lMj-cILXw,1251,172,141,54.95
45,Unknown,i-aC9Uf7PZ0iMyTktgBslIplS81Onne3aYIRqzIumq7XU3mGFHAP4GVBWfKefsuhBlo8JiC4WHGKKg,1249,148,122,54.81
46,Unknown,FTXgI5xnWEZpv5db94bZPzpp7ouNHY2l8sEu7swrD5HPBLoyiC4tMsiNPqisCUoWEybreXY2LzEk-w,1243,195,156,55.56
47,Unknown,i1lHyS1emVmrKEXGX-q0XTqkOC-4BSc79qp1tnY55D0rjyFbZQIebEHKWuvB3en06Irb69zX1TA0Qw,1242,131,92,58.74
48,Unknown,ZOwYGTIrgz_DeQUaNVBs-TFpbobXm_i7gAVSFd4nPK9f4m7jTYD668vDAO0wcgQhOHRWv2uRFjl8Zg,1235,284,225,55.8
49,Unknown,5ny-b38oohYFzsE_BD6lXpDM942yiOO707aQYeJ0a7dfa5fDuuqXAor9BHTw9r3Tr2P9YnV9cINaFg,1234,197,174,53.1
50,Unknown,0OoiqDg86IwiRSv2pHnutTjznV1likVCZfF-eVVFm7O6cCvJG2X7BsUwBDgCJNV3D8yG6xf0_DNS1Q,1228,179,135,57.01
51,Unknown,nh4TAAguA0Dxnv0oLeB_L2kJuvdtuacq8luOMJmA_YbGIfZQQ-mZFHWY1PfNqga-ik-dMGrvI07CWQ,1226,164,131,55.59
52,Unknown,jhUJ6l0wYB5oM10a6n4gqYsFGmOjgqX0h2DAhqqxpr6v6pVkAOe6-t3ihLDpQIJARDvSPa7tvH4CWA,1219,113,83,57.65
53,Unknown,5HGgY0Ga5nXH36u9c5MScpgu7rbjV3ck9haP7NI2k2rxtQfruhsecLCdDOlPl-ceyIlNvaenjkr-vA,1218,103,65,61.31
54,Unknown,HkUMknijQj8WzP1DrHvd8P8ofbxlkPnM7WBEVTusrM5X0rHeSL3edbRo0PU7uurSUS7GqivFzUrnmA,1202,217,183,54.25
55,Unknown,aeASvSZBSug8tVHzY1M5uLJrQ_W2UfTsXFQpfYgXigPYAVD4BQh-pLu_DpJrcP1JveIaLIGQ1KnieA,1202,206,178,53.65
56,Unknown,7s2uDmFLwMIyzSKZIiqOPAQfVd0vnwlhwDIFloh3NLB-AcXaxCYjc8l0bvGSEldJmED9mU6JD52Jbw,1201,144,117,55.17
57,Unknown,ECwkrrukFpCD2BghA6e_e_daUw-CD3jSPs4gQTx0dPAGPf69dJC89jAeKHfVNP4quhomW0b3TBpTEA,1200,225,181,55.42
58,Unknown,X9qXA-NbWIo2tliiXNayjwwWRWdUc_OGgyJAwZtR52WdRu1Lrzj8tWVeCFJ9AIG0NjYyN-57dqrWxQ,1195,191,159,54.57
59,Unknown,R30Rbg8AvFU_YyQzd0Vs9bSaeHlx5luGisQIge5SPmDPlPzZ9kqOnFXEav3N014NVzWOVODEx1qmJA,1189,116,74,61.05
60,Unknown,MxjqCQpntXMMZn0MQ1xCzngqM4EJIGxx5wq9JaUucqQKv-sbBdgKe7KOdZr2rOCE8kMQn1-DR74mIg,1186,216,181,54.41
61,Unknown,kXoEk8cS-tktKgZKX0kdY8nSEzAzt-1a-J6liSh5ObL4bFc9d4gXNXf7glg57oGkgQUY2lMzHK0nOQ,1186,99,63,61.11
62,Unknown,uh8jt_ynG9EjftsD-A0b8VBrPHjX7JWICWcoLaq86w6eboEG3o5YXcxnUUltLlz1XGLL4-8YHbtEng,1177,300,267,52.91
63,Unknown,bcdESDZfSP57W6qndUlnmXl-3cwtZC3ybvipalyTF8KryeC1sjV08tRwoXcr25YCWCUWTSmq03q0KQ,1177,137,98,58.3
64,Unknown,qAybzM1s0e0Id8Nhee4VGUYBTX8wg2kq0UaYcykjC9IY0yRr6Pi8SLH2cz2v-dqNC1l7igTo01N3cQ,1176,228,190,54.55
65,Unknown,R8_HTGrns4YqHn_hK-TLQjlGKwRelu8YDvTNBH62cgkTiKGqtW8Bt9QJbuqsfrejzfbe8-GsTo60RA,1175,140,116,54.69
66,Unknown,NfFCMsLH6aZqdtCfkdfpyh6069u9Q2W7ehUrcVLZnAU7LALQ1WEnQn9hA8DFUSr2BZTY5wjyonz6kg,1171,185,113,62.08
67,Unknown,cycYHm8FJNabCEYdE8riX8gWg10BrNGiF_n1kUjAG-iGHP0WBlZPW8zFuKcxtBt6ja2XYw3tb9f6Kg,1170,338,259,56.62
68,Unknown,1YwQXMcoq3rfE_VJsEzqsxBIP6w62FKGYbCu1N3NcAiHyzcxMLLLd1trtkC4v1DSrDmdq0maELUDpw,1170,233,208,52.83
69,Unknown,eBPuyeXyVk6hEwcAEAQDhMJ12l309DdDbarEs9K5dZxFRyZkixhM7ysDqd20iNQTv28E2MJwV_uadA,1166,206,180,53.37
70,Unknown,zddM19O3ZxX1KNqt6LKU2uQCEp-CehLqbnksUWNXpXwZy8O3oceg1txy-haVLzNHgo2hevq_qQa4XA,1165,160,134,54.42
71,Unknown,07vuSouR2JPeBZFXM_tRaQj0MxxxSvBkAUluZmkfTM3oT2MflaD8yU3H1z2VZsaKShHpU21lsnaMqA,1162,270,247,52.22
72,Unknown,T7LNY4pmgAkW8OausWQm4eNJ3XLSbKUg5hiYg2A-FaHqRp5D04x_7P7UmyxTTAeO8Ur9s2nXoyeH5w,1162,266,239,52.67
73,Unknown,F0DApYgrOTBDgn3AVr3t_WmCeNsOs2AXek7ektv69iCvA6hI_Ge12o-P2nNEiR7GHdQDL8EJeXCgmQ,1155,176,140,55.7
74,Unknown,hB5OjtVPkTLcZqOenlENF6t_CXPr0ZFk8YLtyadSt4GYdQVBi609ZsEHwZvYcBYuskp80XvXWvQBqg,1147,117,89,56.8
75,Unknown,YbgwNBVPwfFp29f-8bUhj12w7Jd7tbpzHnMlUdFmV5c3TgdMhTtdLwRPPsFVNkOqOmVmuDKde24QQw,1146,186,156,54.39
76,Unknown,flPHSgSGhG311olEeqptIlBMaqSwUSZrkluqNxqymUZQlR-jwLClQumkQNrQ6D_GP1Xzm0Qaa7ZteQ,1146,153,115,57.09
77,Unknown,JwNZOYX0C-EmAIUsiXenOXTbC-L_2NHIV2dzdd25JK7kcv_gbKGxUUmTU-tOE7eFc6jA2aGxeQvVrw,1144,218,195,52.78
78,Unknown,2NFKedliLRLTuElXCbwJ-I6ZVM4rC1AH82elbvjxfS93MwcCSnSFSBJmjk0DGJbqOpHdnGGMFWl1Iw,1138,153,100,60.47
79,Unknown,hE9Z-JzgE5U06kyHX4K9nRUW-fw9FIwRQUJGAVJfRbnGzIr2WqliYx4Nd8hktymnn_6fPH71lG5WzA,1136,190,164,53.67
80,Unknown,_Y_HRQpscfjQedgCft3zBZJzW_811Waf53KWurYM4Jc2BGshmuHKrqIvR8yIM1xpR3UaGlwuLbhypQ,1134,157,123,56.07
81,Unknown,4Ec1xa8BAJo4nwxnfxT-UiOJmoDHy9VPNNsWLTQK3h0ON5fSS-JjRDGs2IZEtGlf2xLR23k3DtEcng,1126,239,217,52.41
82,Unknown,zKsIc-fKo1W3OIWGhBigbRL1nLeisPfTLeGmFtSFPMUOKBYU1OLRFn-SyBer8jSjahDvVJQ1iLAndQ,1124,190,155,55.07
83,Unknown,nx62VktYaT7kZeBKpT_8OdGkzqN0UHkANqTWgdMXu_UzD7LHKScMzVTc-7-7Xc3zLG3bYTWjtGHpLQ,1123,421,383,52.36
84,Unknown,4LJTQMG2o3tsIpD6sUZJklnNbBiHSvx8it_YWP9Q7dZ4j-Y5T7tYI3okXpcf60TgMJZpjvg-6hTpAw,1120,104,74,58.43
85,Unknown,5CU-BkTH-VPWc5xIkt7eNgnrMDUZIzxJMgm5dHY5_zU7dg22Z4a6_60gzC-u8Slqm4Pw0YQnsHqVrw,1119,194,174,52.72
86,Unknown,Eeb0JjNWHmTqPrsqrB-u-wl8whUBO0HqREiOY7ZbvbWlmeY4pW0PYMYFHsFRiqAA5VXhOYhFsT26Ag,1117,248,219,53.1
87,Unknown,GAUGZFKtfhx7jhtm2UTZS6_OUHFMZjutm0R0OozXzQjdR847sz6CafJFyUnimeSawc3qZ7dHrXSvKg,1117,213,177,54.62
88,Unknown,LEn9vSsV0oiP8sRIGSKTlgnwuahxdKGgFrB8sL0XuNgIb_aRrpB1_M9vZYfV3U_uLXMf2O8BLOO2aQ,1116,195,157,55.4
89,Unknown,cx79WYr7iFA4niINoYbfu4wY5oNJBFbKqUfh6iSHKX44jx5KmDmGkah71GPl_Karpl1BiTjsrxj1PA,1116,110,86,56.12
90,Unknown,dsMDPry-KNKcr2Zyg_f3cEEFHs373ihk8YysEgu6w9_zMAQItd9nntxIKvJUalBXfjCKGRc50lsU_w,1114,135,95,58.7
91,Unknown,5hATwXp4LwDSmkM2_tridEGg7qO3HXQwTJFOR2gP5P_f6i-MVLzmhy2R9rWS3Yb5VDjOI_BrbmBlBQ,1111,273,246,52.6
92,Unknown,1Vv4-yOpl7FkYUr50QmeOULoMiiJ2fjZUopagH_pDuSZNUNhQEEajDnYfDzUSLI--AvMODnu44JbEw,1107,276,246,52.87
93,Unknown,tT9ve81d-gXZDCF_7vMXh3KvSI6CRFr8f2XOg-kBFpEYAopTh3KxiIvE2BShaN-zXx2ge-qhEQiQMw,1105,118,87,57.56
94,Unknown,5nNeWduHHnpLzlqCdLNAhUycpF5wH9ptGtaCXC97b5y7R9_qBW84qy3ofkKuxWPgV1kRoY6feS9dcA,1102,147,110,57.2
95,Unknown,O0gb--4s4dJj-GXFZgmyuqM81220bVEIhd1vuWwikMk8nnMl7xuhC8U1wF_cj_bEUyF7rAYViNwUcg,1092,249,219,53.21
96,Unknown,mfQi_D9hjL4HvCweYNAv1eArMMfPutlFnWaYBRe1xe0nOhUIpf19EZiN-rhpxNNrOxkoqGRvyZmCUg,1092,181,151,54.52
97,Unknown,GbhVf2aHO6IKMMTnD3h2rMu95ZFh3VoffqYrero3IMCX39epP7Q-dI9Civ79fEmWZ7uaIohqtDsJZA,1086,157,125,55.67
98,Unknown,dZlrjn8MUwL8Vx-Sx36wfsVJaZaszRqbkUBnhO7rrweZPJMu-PmxhYGebDYfwiAi3v1gVN474kYnbQ,1083,188,142,56.97
99,Unknown,U4AC72mOzsIXgX-kApvleTgPsLHInIMVJ6nbanL8nrvxXMIFzXFmlBbcFbAUQffIc1IyDIJN5wCU7w,1081,223,204,52.22
