rank,name,puuid,league_points,wins,losses,win_rate
200,Unknown,HhZfygt2hMEaV-HZNeag-Nr4_U3_4q_ElXYEG3HULX5mR5lKbq-6FGuC0XaxXPYl8u40Bd-6B809Hg,934,123,99,55.41
201,Unknown,FpsHDZs51-QsaZkEG1VTd3MiaQL6Ln5d24Lnfvor473lTPJBB9_EkLIJvvw_OsCxBRlhMTvxOkplWQ,933,77,42,64.71
202,Unknown,njsv5o2xXyQTFLiURWFcEINw84ntkeNJJuv0nr5DMfhG51AGqSg5JfAWMH4-lCt2LF-H5SwyLP82wg,932,223,193,53.61
203,Unknown,erRSRRCBQJ_RPBbBHCxHhG7SkEHAYVqNA78nCjc4zUe-8SEza36lmm_Nkx4-9RpDfiKE1yWWpy3rXQ,932,214,201,51.57
204,Unknown,iMt6v2FuisYI5mk7cpOL2lVGk1XVYkGzxyQIbJ4GO-K6-5X38LSq1UrD7ruE-0q03-cCTlWhqbpzqQ,930,145,128,53.11
205,Unknown,pNfElvNxSTOXGisgF41vBZwDhT9RLQLKURn0az5O7Tn01KcUGdjeUfg_uA8gU_6MO0v5jm8wSiUi7A,929,317,281,53.01
206,Unknown,ApqWrP2WcHO1b9Gjhp3NR7NnOLFoaNjvzOeqkEM8-cfYNNzL307419fvdm9E0gPW5_LiB1RZ9u5u7g,929,130,107,54.85
207,Unknown,X9mwpR6DF9PEfXJapG5cystN_Oj0Yw_kRRBnIlpBpChqX5ifhzm1tLvXl29RPIaUO6PfUzZk7SId1w,928,129,74,63.55
208,Unknown,E_rRlrT4_S-16S373K2iA2pnVQ-mHq8qtvSuqMnuNH_23jquhPU-1OtHfFfbdM8OdWuUehaAMfKMaw,925,139,96,59.15
209,Unknown,QSqBVXQbwFqqpczkk7nOtVY-x7pqhlPyj7hsMhSN2SqCe3uz9MIMpBo4kiI9UTwquGt8GPnyEsmOcQ,925,107,80,57.22
210,Unknown,DCNG93DnWi2nW_fKoGDGohP2EJ1cF5ZZVK_D9EtZ8hJguOQsoQxUq0KFXAShefAiM6jMD1bIHzGLng,921,264,241,52.28
211,Unknown,uMtfy-p9X43ZwtkJ3nQGJjFwY-s7Zlu3TafaKLVlLuAlI9ZfqDMMasYZOvPyN5017ByXzwyW9TRLmg,920,265,232,53.32
212,Unknown,QUB7RuSllvnB4WLUrlXLC7mciGlh4iRtO5-ZYOdIPE4NeTU8K0MWcRzGU_w_3QrMThwUJ-qBYvjazw,920,107,83,56.32
213,Unknown,Rx3duAX9ivAfJjyuOEau5G-kgCuMeFiaRn-dlF51jtyDWTbMBSncNsG9mRnyRgXM4sjH_ZmzLUaX-Q,918,145,117,55.34
214,Unknown,ZFyfEd3TwFf-lEKECBn5fsEy0SK17PS39l15qpOLywl1eH3uYJaHKlB461hy0K8mmy0NP1enOrlcWg,918,140,113,55.34
215,Unknown,M84pATEgXLoU5XbnMR2xQiF_6M19wbIrS20q7sr75a2RcejQDJ_DD0pRekT5IxxhEClTKl2gPhWFIg,917,286,267,51.72
216,Unknown,A76qbHRg1OUsWSTA_dwZpq1Vd5yWmD6Nye5-vKOGWt_Tm0SQQCDRCzjeJJpjXPG_dxiBL7d-Z8hznA,916,217,183,54.25
217,Unknown,f5fc1tNO16m8DV0W2c0Isyo0SP3e9ZUD6adJqYxLetfszZ4U_v6HB-F2EOeaeQmNdtbNXbAKuqgrow,915,268,253,51.44
218,Unknown,C7T4M41sVWdEAZjUUGdsfGD5kn1KGZ1g68_VNqzJgbNSht1nRW3Zuf2NVM64NEr7Rv6cQh2HNjJGrg,915,191,166,53.5
219,Unknown,7GXtkI7S0YVXz--bTcEopzv8te3OWeIsfuA33qlSntf85uuOKGRT6BNWr9o0MRYOkRYNXd5hWMLmXA,915,100,49,67.11
220,Unknown,wdr6MwxAbcqKZ99PKygAgi22UCyUARpFLlhb_noFBBAq2I1cxLELApmcOxiPZO_CJs0jIHuy35u8Zg,914,175,152,53.52
221,Unknown,TiHqPkfbjmR34FZjwTYzOMGC4FEhqH0KziseBkti__gT7mCRM7WmvGC3PSx5A4dFKe4BUD0cwK0vhA,914,160,127,55.75
222,Unknown,rC6KycIB8X1fiVOq7PxnUxaqBVEvJToqE0PLogY9kVCbxG9RfHhmYytmjjtgDUacaTueAcUnJkLlJg,912,118,81,59.3
223,Unknown,x1Z90hXqOmjDzYw3UmqDNlk2XUKP_hEYvgTXT5rIMx1WYZSiau_RM_wgcrLBlzPGP86oCN3SADekPA,910,346,316,52.27
224,Unknown,tD2pKSf225iVtfaABI0bj5sEZ-dlM6fx_fXs4lttZOdNX3p8ZmneMt5qTqwO1oeBD1EuklbfwqRSgg,910,154,127,54.8
225,Unknown,fYlmWK3nuSebTcL4iL49C4xy3BTTfm3UQ4vdXycqScPG5B9u6NuJ2n3DYwbSal88meXCaxRVxAVYKQ,910,150,131,53.38
226,Unknown,aPwbtI1QwVWkLn2MJoz5p7rSR236ZX6KKmrsc0Ds23mN8IE9yX-E6gdAfKMm_Y9nA6WEiRgK0eSjCA,909,76,45,62.81
227,Unknown,z0VdPAp921SPng1YDpiuKe7nMxmrQylNqoPxYq9vM0aSBH-e2ZFnO3Wqlzy2P-XP4jgVJ5An7ZXqPQ,908,175,121,59.12
228,Unknown,QuvHhWQjzitJtpxiYFx6QWC9y7itS0XW1CRqSaaUAozUgWsIxcuqQg6uNY2HERZT1kxRExtoLnE1-A,908,138,112,55.2
229,Unknown,Hv0A7l0q3v0aCePq6We_GBrDD8WR8vxOC4iMEK0ew75KUY5bbW5tt5YIxtV4qsAlCny58x4N2SVfsw,906,222,193,53.49
230,Unknown,eDnjzdBRIgJMlinw9Eqacv8ehiD_r3XKRgjeAlVYp4PJQ6OhKd-OGrldjRTKUwvNF3Ngj0YhpU95Gg,904,141,95,59.75
231,Unknown,UdZdjdwa-M3gT5lfT0I80TOZj9i5nlQS6NC99QRDijbL-p-vPqxAFUmhLG4LfCIpD1F5KzCP_76p3A,903,162,133,54.92
232,Unknown,M8EdorgjQqbc9rNNTDjBHPkIElHNiD-ee8Wo2_T_Og3W_T-KFl4GTjKC18zSm412_UMhQSrbIoN4Hw,900,224,203,52.46
233,Unknown,vOQk_cJu-2knNqQEbmBokEGRZjJKiZIEAPmDBVwZW52Vz5mx92mFBtNG-WPR9OlUOOZxFfFFQQ14uA,899,185,123,60.06
234,Unknown,KkA8FroYfUesqVW7Wd8G1L_6OAa5mh7FiEsZHjii0V-8b0m7MWbfNTLsOmm6gvQgiT4iJ_TF8ravEw,899,151,115,56.77
235,Unknown,ttSumWAcKvb3aWu3Fs0eXdh-xjY_yvn8CYOfdZ32pUKvYp0CPXTR6IlDe46_97fKQ-svIh7I9lgM0Q,897,185,152,54.9
236,Unknown,NL2_9gtVBa14s4tR6WgegHgus7ojix8txRbFdPNIFJ2ZiSsBc924KTLrduoq-TCIhaT2qhXwUSDuFg,896,139,84,62.33
237,Unknown,2XPzT0YOTcitKdUAOtgaiVipc4O_LfXCYM9LGtoYOmfzrPdTDHYkzhpOut3Kegivp24m9SkBtUG-TA,895,120,94,56.07
238,Unknown,8MQXSP4-lyEjEUTncJOF1ma-UN4Nmi2_psgs4zmj4j9ycHWD-BeULmd4P7BBdKO3V7oICus1aKgMqw,894,138,95,59.23
239,Unknown,3LywSA4ixee_8v4NPpqeycnQ1F9Fhcnn68wCVWPMNEnvixQAZ5rQaa5UCSbpegYRP7YbL_SAydSHiA,894,76,43,63.87
240,Unknown,vt2B7ogw8eHvcQgsj_vYdTvXJPFmC_xWGjK5f_GQ_G81QKujuoxkBFjmWC305TnRNYBU8KQ9xFwCBA,893,220,201,52.26
241,Unknown,FnZS2td2B3U3NvZrOqQnPRvbcaI6PU88btsyAuXCUITSbB3KS2BB4emdT_8_AxYmAEH-wsxqrswUcQ,890,233,197,54.19
242,Unknown,DQ_W7NgLDIReAqBWkx3Fj3-YzHB-rG4exDs0oDpziZgrpBpccvVa0e2rWZ2QR0vAhy3nAOqxKjZp5g,890,116,95,54.98
243,Unknown,moBqKoT38VAUN8iHDqKL74RcIWznPvE-8VWiOoGz7bM-HnqTKm13NSeAPIikBwGwMTHOKVENtzSsZg,888,295,246,54.53
244,Unknown,V7ntj-owCAMC-39WxEIaEnmkdhiGp3r2AnhgY0VFgqMfshZNSt0ASVHOjS3nA4xB9LzumZYbGunqUA,888,173,147,54.06
245,Unknown,MPBhvygYmHdVxCZ6ACXUjNd4IRcs03ElXCXP4-CBr8qh6l7tL6nrzs_2URa1NONlkMt1D7WO5u6WTQ,888,94,45,67.63
246,Unknown,omYHbCrNpH-oMuvwREYPfof_9oP5T61l0tdhZ76BN6L4516p49ngKjjS9PM-U-J71jf4HrJi8yo8hQ,887,94,63,59.87
247,Unknown,LhL6ACpqNYsUAzdruZ8BRB8VbgfnVZNRRzAAiEFsA33GTtMCYyOCPoaONvsvctf9o8jHENCNx6Rdbw,886,324,304,51.59
248,Unknown,BjJs3MEg_ECHfydXe0U_iU1PpYAeZfeMVbOdgXsKaoUUF4Xxt1n2Xyivjsx_LhEZ5FEVwzR0CbFBQg,886,225,201,52.82
249,Unknown,cy4yc55hAeGMFjEz1smlDOtb5kVKrrENGpgZJX6aFBfCxMx3dTbsaMUWMb-c-bRKXIsg_D1O7pnYPg,883,111,85,56.63
250,Unknown,xTuhVGTU733HDovA7868PzS15Qo1HbLSLmo_QcwFlapcXQ2fActnDNecmjAuSOGaU66e8GhH3K1s4w,882,96,68,58.54
251,Unknown,aC8blSem9Lg9nyuMsM7mUm3lG6tdYWNeBHqltBIu7itzTmcmNAbMkBvsGxatbwD9zNjZoj5nS2o8UA,881,136,115,54.18
252,Unknown,p_3O8ahSMUpi8laShFBtoMV3cDHqRzdVwAFJoF9rg3OOrmbwtgnaUudXeZx1v8JAlf9ITgi19kd19w,879,224,192,53.85
253,Unknown,hGMO5g-Lqi7KjWRpAjakP83h1jB5hen2FxwJiHuxTj-GYesPeSqWIxK2N0wJm3JPvIB2LxByv_W5tQ,879,160,85,65.31
254,Unknown,k7e5dk4mwbEu5LMWEXsxbSl3ZpyFK08Fkpp5RwodrsqYFlvZiNBdlRYEyQlbNNuTNBpU0YRsWZVcug,879,151,87,63.45
255,Unknown,015sw99al2nodsL7Ngze0tHQItlnxoDyrOd8PKqF9FeC77T81tfz8Py13JqlmyzdsYBMLikhClqVmg,879,127,88,59.07
256,Unknown,oVTKbsooh3xtnvX7HDQ7DFHyGMxOUnzqBxmoby_-kvRP2I_tnb-20-msOVlgVWws9T51gpXgW73j7A,878,194,179,52.01
257,Unknown,kr27HqR-ZKMTRDOMO9fAAAfxPrh-39-S7w09RB2dSUl2-x4rcmzMIf0E6iREUgcl9BEfJs24XEBFKw,877,180,163,52.48
258,Unknown,zDdrE4SaUvjHcCWjLn87LSJvqK4BSpYYY_OJfl2VV3zmjpRqepjqYaXrH3izKaXGsMclm5uoj4PR8A,877,138,104,57.02
259,Unknown,gvX0joEWmvDkNLeg6kyECGW8WIbeBne1YtLL7YG4EXVCYD0Z2LEIGThkLjRlpWCd_NW_DEMxpZa8cw,877,118,92,56.19
260,Unknown,qSqV_xNwE32r2j8UZYcKEqwLVvx_u1F5qWnmsVzIsOE7FqKH5Ehh_ZZYtJT0EzmliWRSUbzdzcZEvw,877,118,100,54.13
261,Unknown,ETz7ujH0PSHAYiJJkafblik2MGsny3_OttqR-Y6tKyqrnOHbnRfSiNSf4xBdbo_Bn1_pT-FF0tmCsQ,876,335,309,52.02
262,Unknown,Z-edPitnuZV3dvHY_rJfXiEE6UmdwyaiGxCQXzzODgNuiDRBjaiyK1r6faZBQuQKseuK4HoxZHsDtA,876,261,227,53.48
263,Unknown,eeGqpuSovwH821yaY_ZpEMLwAHFRJ_FEy6EMeAAsOGwbca9v26g-OYIyloIUs7JCTVEvkpmLmLQCdw,876,165,148,52.72
264,Unknown,xN4WelfpcAAP3kE2OXluz1LNQetQZp2A5N_431w2c-x4-YCgwyu_ItTx3MLnoT2YuFm_RMMF44cx2g,876,162,135,54.55
265,Unknown,ewLJwE2u6q8qHrmt9_2LOxFcHrakNT3tEY_6usqI4FbGY0KagIbkzU30Un8mPE0yUPxut7MyWxQ7-w,876,100,65,60.61
266,Unknown,RVzNIIlXXVfJLCktGdpo6nr7v09sdxygg-B_gDSiZzgzvdvwNrnan5IS2EVH2cs2tvMPDrG9YgrBGQ,875,171,159,51.82
267,Unknown,f_Rsw2zg92n0AtbXhYpiWvl8btZSF0yTmJDZ_GUN8pavKzSJkBuK7HVsieQgTdENrY9ftTtSPVPuZA,875,111,83,57.22
268,Unknown,Lyx-bAs0ASYSnSnObW-Ew13x5YkWeav_RRAWOH-oBp41kf6pE_q-7OhBlqqDQLGrR9yjz-svSPLx8w,875,83,57,59.29
269,Unknown,1UcP0iiMfjupdCC2sxiH0wiCJinMYUvSEW2Yte_VWZVuhX5CcVYsAAhave2daH0WTyvcTAAoK0OQxw,874,224,189,54.24
270,Unknown,MWfUlxYfqRaK7P06WdIrBouDW1WoMs4b_dhW2dmqrA5cTGx3nxWpzi1x412HmG9hdAiFUMkGmGiEwQ,874,164,127,56.36
271,Unknown,68ms0w_s8fik1IuQ-1IN_raQbN4jAwl--52NaDJaJSuvPL-JMcTMtFn2yVXGxnBci6Muvyf9COneXA,874,145,123,54.1
272,Unknown,4i4tfnK1SrNpZa7hbk9UDCE8tUqqvgf8nUyXYP_44i_EVaCQVHbj5vfZYpx9EnTJ15JQTTZ1nMZLfA,874,119,95,55.61
273,Unknown,GDUez8acnKFrlozVnJYVLcGkjsenxOznMLK3BDWNGDJuVlrF3kZwdEkLsrNId-HSMl_jUZUgea10sQ,873,158,135,53.92
274,Unknown,wf7fOlpfEAxIUrim_36OETw1MxDDyUXMBW3paSp6UKX-BtimqdAaRHYlZxuiOhom0cDTJu1hUwiP-Q,872,113,73,60.75
275,Unknown,ZVu1GMhSNiImnqdlQuTxeNwxunUTlmL94qVEf6jrCa0bIx9DF3C_kveYMBUGREXFEx-iNvZ7KKIFZA,871,415,377,52.4
276,Unknown,2lv4JfJloYIzBOVPY4j0hi_glRWHUEzu8s0TZuL5t_nr1tR3v2k0DcFqiHI7p0kpzHTLslXNcmWubQ,871,168,107,61.09
277,Unknown,OzABK-S92-grXPEJp4anjGwKm2IN749pYnAIhFV1hxpPyDEkyok8yZ8ZwcnJuKfAyLEBTDJkFE2xRA,871,96,51,65.31
278,Unknown,hWAaNHM2KMmPmyoSTbgAyLyI6TvqyP-hy_1j3h3MbCsu2r3Izq0TtoygT_gSirtU4FFz0fbRIoxrdQ,870,238,209,53.24
279,Unknown,EZL1CYhQvetBfJ000f-kQHrhlhysPH4frKk7O6P5pV7D22LPwQdGqWDUJXWzIVHCZYkXXKd7Jrvotg,869,167,109,60.51
280,Unknown,nVbqob37V5MLUlR_nyA2dbctzo2M4b_9ae1zdK5QWjrYJNyFTPbjIo_2lpQUs9ZQYHLWMUOocjlUrw,869,146,119,55.09
281,Unknown,TS5S5Hh3h3_ckfEX0FYpuEtsdG2uofOfnKmqENSFD5kk-flDL1rqBUyUukXLzcDPoLuz4ue73sRqpQ,868,179,106,62.81
282,Unknown,lRucEHnP3fer_zH6pXFlEsE4i5peNqdm0g0Ee9G3NlHS81rj7FQUX_FtZi4RjoYetwuMtlta_2YL1g,868,171,134,56.07
283,Unknown,Y-KwpwEX1fIxEATvVtVXWpyc4KMjLHkZiREhS9yoyK_9rKoYZSKjfTp4h-m_tpsXOf-YeT4PqsiXSQ,868,101,81,55.49
284,Unknown,IxnCKMElNXzHvqAL1cJ8zzllCtysoiJlJ9uGl3pxizgYjVp_---003NHw93yAMA1L0hUFxwF1bBOoQ,867,358,354,50.28
285,Unknown,qC9XQXfVka3f1hvPHEhnS3IRU_iI467VEEDuq70xmzEw_11RWZeu7YBtagxw7uMMHK9sS8bAeWPKVg,867,193,166,53.76
286,Unknown,RW_yN6EC6tBBSO8XfJCdDZYj-2Rh5bkl4xIpuHORJDh-njS-OXZ6Kx9fJG2PpuW5bGIIdfKwZI9ACA,866,181,163,52.62
287,Unknown,MCxFuo_8GebhhWcfiwhHi7oFklTJ3YaeXhaGJNFqGaEwFwr8l6_hoV5esOdqBPMTsQMCwl12YaAdDw,866,168,142,54.19
288,Unknown,r5pUH-uplekTxNQEzgyUOWgG1duH62OUdd80WUOHQKOt_SvXFe0wtjRripCSrTIkpSgowtd65Q2vDw,866,145,115,55.77
289,Unknown,_fUBfR4f5WXNpPBxqp0hq7BVUGo_OFlnkMqlHVw_GcU1rqCjPMbQEaU8X9GEPmfcVc7fTV4wDRSh_g,866,117,79,59.69
290,Unknown,E6f7WTh9Grk40oUnW8C5XLw9iDN3Wv26tiXp_6VZWBXJFt3d_j5Ew2rdMipCxIKU38dYYs0WcSmFBg,865,408,361,53.06
291,Unknown,wBTDXHO7EiWjb29iJmz05xJQcJvcVxKIb7fL9vP5xxTmEoB279QJ7kDJ62Lj_SYZdBongqXcGcfD5w,865,128,42,75.29
292,Unknown,nJXQuS-knAytb6nJyiUZfnaI0Sz4UptoXOwRkh1bdpdXzqKuMfc1MsJDtlHlzBwq5MVPG6ae7B7imw,864,301,272,52.53
293,Unknown,6vNDBTx6SnlSesWtYSqfmMzb3kC5aLVMmMmn-St6tw65Fc52r5YM-Li_qOXoLa1Ow_CO_qvvcZUyCQ,863,122,63,65.95
294,Unknown,7BBpqUT_gvWqK10CGBDVt_Qwu7tcxzuSgx3KXI58Dp9rTnj0RrlSoCcBFeY6dulpESdvMYFDKbuxpA,862,88,51,63.31
295,Unknown,2qilZue6caAyH7y6KrNLZ6pP18FyIgajn8Zm49gubQqL6rue72cgEuE5dYixdRFzWR2LU0mRGaPSPA,861,113,79,58.85
296,Unknown,4LUiq4Jnmo7eKrGEI-MynVWihvghjLChKMcM9-WcB4GaGXIlQIuaT7nKfYWZYyRPIazhPsf_uuAsNQ,859,252,238,51.43
297,Unknown,3uDBAeOD7ZGTxoaX8e7cTUAbZeZ-wWG0G0S28mLDd8ZjqmZUb581YO2caiHKeicAyktuHLTHThNlsQ,848,138,116,54.33
298,Unknown,sP54g08ZtsmbYJFxUNhTPdoDfN7_O0orpeZuRnkRHyLE5gy6eZFQqXfgI6DN_g6K2jY-o8o45sYVQw,842,117,101,53.67
299,Unknown,GS_hY5l9s6I5meDo0YhOpBC-rF1VFuepW-YcXwFMHOewz0vrdNSkNBuZcgQcBSDXHHu6K44wAwX6AA,833,114,93,55.07
300,Unknown,71DOnEJDjt1QkuhOaeNUhNVaK-QpH9WcmrBCE0gziJtSB1WgtwLd5WRRHnxTJNlqDmCY7IrMSRZv5Q,798,371,345,51.82
